"Story","Title","Result","Date","Stability","Duration (s)"
"Store Credit","Store Credit Mayor Compra usuario normal","ERROR","2018-08-14T15:55:48.305-05:00[America/Bogota]","0.0","141.61"
"compra con credito aliad@","compra con credito aliad@ nueva con voucher","ERROR","2018-08-08T08:57:09.617-05:00[America/Bogota]","0.0","39.84"
"compra con credito aliad@","compra con credito aliad@ con sc","ERROR","2018-08-08T08:57:49.461-05:00[America/Bogota]","0.0","111.31"
"compra con credito aliad@","compra con credito aliad@ con mayor al cupo","ERROR","2018-08-08T08:59:40.774-05:00[America/Bogota]","0.0","12.75"
"compra con credito aliad@","compra con credito caso no feliz usuario normal","ERROR","2018-08-14T08:47:52.961-05:00[America/Bogota]","0.0","9.66"
"compra con credito aliad@","compra con credito aliad@ <usuario>","ERROR","2018-08-14T08:48:02.64-05:00[America/Bogota]","0.0","13.51"
"compra con credito aliad@","compra con credito aliad@ con voucher","ERROR","2018-08-14T08:48:16.151-05:00[America/Bogota]","0.0","17.26"
"Store Credit PDP","Store Credit Compra usuario normal tarjeta credito con union de carro","FAILURE","2018-10-09T12:06:25.191-05:00[America/Bogota]","0.0","108.92"
"Store Credit PDP","Store Credit Compra aliada tarjeta debito","FAILURE","2018-10-09T14:46:24.357-05:00[America/Bogota]","0.0","251.42"
"Compra Contra Entrega PDP","Compra contra entrega usuario normal con SC y vaucher","FAILURE","2018-10-09T11:12:40.04-05:00[America/Bogota]","0.0","513.41"
"Compra con TC PDP","comprar con tarjeta de credito con usuario normal","ERROR","2018-10-09T10:08:54.266-05:00[America/Bogota]","0.0","324.16"
"Compra con Tarjeta debito PDP","comprar con Tarjeta debito con usuario aliada caso no feliz","ERROR","2018-10-11T17:30:44.675-05:00[America/Bogota]","0.0","273.3"
"Compra con Tarjeta debito PDP","comprar con Tarjeta debito con usuario aliada caso feliz union de carro","FAILURE","2018-10-12T09:50:31.26-05:00[America/Bogota]","0.0","499.06"
"Compra Contra Entrega PDP","Compra contra entrega usuario normal con voucher <vocher>","FAILURE","2018-10-11T09:54:12.494-05:00[America/Bogota]","0.0","528.61"
